pedido_id,fecha_pedido,producto,cantidad_producto,precio_venta,tiempo_fabricacion_medio,caducidad,destino,distancia_km,coordenadas_gps,email_cliente
1,2025-01-02,Producto5,8,64.84,1,3,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto28,1,24.6,4,12,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto29,6,64.14,10,30,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto3,1,74.19,7,21,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto38,1,41.61,3,9,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto44,9,17.32,7,21,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto40,1,95.77,4,12,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto13,1,29.33,10,30,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto1,8,45.84,3,9,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto29,1,64.14,10,30,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto8,5,66.37,4,12,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto23,5,22.06,6,18,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto11,3,30.66,7,21,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto12,7,13.74,5,15,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto50,2,14.33,3,9,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto33,7,12.0,8,24,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto19,9,29.87,7,21,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto3,1,74.19,7,21,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto16,2,31.55,4,12,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
1,2025-01-02,Producto6,8,85.57,6,18,Guadalajara,455.56,"40.7399963,-2.50593",cliente68@correo.com
2,2025-01-03,Producto34,2,44.47,8,24,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto32,10,50.83,6,18,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto20,6,98.15,1,3,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto19,5,29.87,7,21,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto34,5,44.47,8,24,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto3,6,74.19,7,21,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto43,4,33.04,1,3,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto3,9,74.19,7,21,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto48,10,52.82,3,9,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto1,1,45.84,3,9,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto38,10,41.61,3,9,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto42,4,63.8,10,30,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto48,5,52.82,3,9,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto34,5,44.47,8,24,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto22,3,17.45,8,24,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto39,8,56.7,10,30,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto16,3,31.55,4,12,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto13,4,29.33,10,30,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
2,2025-01-03,Producto19,4,29.87,7,21,Sevilla,830.4,"37.3886303,-5.9953403",cliente6@correo.com
